a,b,c,d,e,a² + b² + c² + d²,e²,Match?
16,63,2112,2232384,2232385,4983542788225,4983542788225,YES
88,1935,1875984,1759659860112,1759659860113,3096402823292902728372769,3096402823292902728372769,YES
59,1740,1515540,1148432261340,1148432261341,1318896658888802923118281,1318896658888802923118281,YES
92,2115,2240844,2510693157012,2510693157013,6303580128671904671082169,6303580128671904671082169,YES
89,3960,7844760,30770137573560,30770137573561,946801366295870424686220721,946801366295870424686220721,YES
93,4324,9352812,43737555506484,43737555506485,1912973761682856344877055225,1912973761682856344877055225,YES
45,1012,513084,131628108612,131628108613,17325958977035724783769,17325958977035724783769,YES
52,675,229164,26258298612,26258298613,689498246049477723769,689498246049477723769,YES
61,1860,1731660,1499324909460,1499324909461,2247975184130235847310521,2247975184130235847310521,YES
67,2244,2520012,3175232760084,3175232760085,10082103080717007169207225,10082103080717007169207225,YES
55,1512,1144584,655037411112,655037411113,429074009957621375898769,429074009957621375898769,YES
38,360,32760,268337160,268337162,72004832510214244,72004832510214244,YES
35,612,187884,17650386612,17650386613,311536147588369611769,311536147588369611769,YES
72,1295,841104,353728810512,353728810513,125124071386941859323169,125124071386941859323169,YES
87,3784,7163112,25655093925384,25655093925385,658183844320326327947398225,658183844320326327947398225,YES
100,2499,3127500,4890631252500,4890631252501,23918274047939500018755001,23918274047939500018755001,YES
51,1300,846300,358112691300,358112691301,128244699670845321072601,128244699670845321072601,YES
13,84,3612,6526884,6526885,42600227803225,42600227803225,YES
41,840,353640,62530978440,62530978441,3910123264788806790481,3910123264788806790481,YES
42,440,48840,596385240,596385242,355675356875398564,355675356875398564,YES
73,2664,3551112,6305201769384,6305201769385,39755569352655734723278225,39755569352655734723278225,YES
43,924,427812,91511981484,91511981485,8374442755310982805225,8374442755310982805225,YES
82,1680,707280,125061956880,125061956882,15640493059155227161924,15640493059155227161924,YES
94,2208,1221024,372726123168,372726123170,138924762893338010848900,138924762893338010848900,YES
17,144,10512,55261584,55261585,3053842776712225,3053842776712225,YES
97,4704,11068512,61255990015584,61255990015585,3752296312789449208542892225,3752296312789449208542892225,YES
70,1224,375768,35300773224,35300773226,1246144590353478447076,1246144590353478447076,YES
98,2400,1442400,520130882400,520130882402,270536134828283153289604,270536134828283153289604,YES
69,2380,2834580,4017424722780,4017424722781,16139701403211994700373961,16139701403211994700373961,YES
37,684,234612,27521629884,27521629885,757440111526925113225,757440111526925113225,YES
32,255,33024,545325312,545325313,297379696998547969,297379696998547969,YES
10,24,168,7224,7226,52215076,52215076,YES
26,168,7224,13053768,13053770,170400911212900,170400911212900,YES
76,1443,1044012,544981572084,544981572085,297004913912238051247225,297004913912238051247225,YES
56,783,308112,47466810384,47466810385,2253098088125543848225,2253098088125543848225,YES
64,1023,525312,137976873984,137976873985,19037617754672569780225,19037617754672569780225,YES
90,2024,1026168,263256217224,263256217226,69303835908142899135076,69303835908142899135076,YES
20,99,5100,13010100,13010101,169262728030201,169262728030201,YES
77,2964,4395612,9660706822884,9660706822885,93329256317736790759723225,93329256317736790759723225,YES
5,12,84,3612,3613,13053769,13053769,YES
85,3612,6526884,21300113901612,21300113901613,453694852221687377444001769,453694852221687377444001769,YES
34,288,21024,110523168,110523170,12215371106848900,12215371106848900,YES
19,180,16380,134168580,134168581,18001208127553561,18001208127553561,YES
53,1404,987012,487097331084,487097331085,237263809950130107277225,237263809950130107277225,YES
68,1155,669324,223997977812,223997977813,50175094064313240262969,50175094064313240262969,YES
47,1104,610512,186363061584,186363061585,34731190723334502712225,34731190723334502712225,YES
96,2303,2656512,3528530659584,3528530659585,12450528615631355152372225,12450528615631355152372225,YES
99,4900,12009900,72118861014900,72118861014901,5201130114086607295744039801,5201130114086607295744039801,YES
11,60,1860,1731660,1731661,2998649818921,2998649818921,YES
66,1088,297024,22056111168,22056111170,486472039943398768900,486472039943398768900,YES
22,120,3720,3463320,3463322,11994599275684,11994599275684,YES
74,1368,469224,55043259768,55043259770,3029760446107700452900,3029760446107700452900,YES
30,224,12768,40768224,40768226,1662048251187076,1662048251187076,YES
80,1599,1281600,821250561600,821250561601,674452484929957895683201,674452484929957895683201,YES
14,48,624,97968,97970,9598120900,9598120900,YES
95,4512,10183584,51852701726112,51852701726113,2688702676297242089666088769,2688702676297242089666088769,YES
7,24,312,48984,48985,2399530225,2399530225,YES
46,528,70224,1232922768,1232922770,1520098556784472900,1520098556784472900,YES
18,80,1680,707280,707282,500247827524,500247827524,YES
21,220,24420,298192620,298192621,88918839218849641,88918839218849641,YES
23,264,35112,616461384,616461385,380024639196118225,380024639196118225,YES
6,8,24,168,170,28900,28900,YES
24,143,10512,55261584,55261585,3053842776712225,3053842776712225,YES
